Datum,Turnier,Serie,Court,Belag,Runde,BestOf,Sieger,Verlierer,SRang,VRang,S1,V1,S2,V2,S3,V3,S4,V4,S5,V5,SSaetze,VSaetze,SSpiele,VSpiele,Status,QuoteS,QuoteV
2024-01-03,Brisbane International,WTA500,Outdoor,Hard,2nd Round,3,Kudermetova V.,Schmiedlova A.,16,73,6,2,6,3,,,,,,,2,,12,5,Completed,1.19,4.58
2024-01-03,Brisbane International,WTA500,Outdoor,Hard,2nd Round,3,Potapova A.,Saville D.,28,209,6,4,3,6,6,4,,,,,2,1,15,14,Completed,1.53,2.49
2024-01-03,Brisbane International,WTA500,Outdoor,Hard,2nd Round,3,Pliskova Ka.,Osaka N.,39,,3,6,7,6,6,4,,,,,2,1,16,16,Completed,2.4,1.56
2024-01-03,Brisbane International,WTA500,Outdoor,Hard,2nd Round,3,Noskova L.,Cirstea S.,40,26,6,4,4,6,6,4,,,,,2,1,16,14,Completed,1.79,2.0
2024-01-03,Brisbane International,WTA500,Outdoor,Hard,2nd Round,3,Sabalenka A.,Bronzetti L.,2,52,6,3,6,0,,,,,,,2,,12,3,Completed,1.04,11.27
2024-01-03,Brisbane International,WTA500,Outdoor,Hard,2nd Round,3,Kasatkina D.,Kostyuk M.,18,38,6,3,6,4,,,,,,,2,,12,7,Completed,1.92,1.87
2024-01-03,Brisbane International,WTA500,Outdoor,Hard,2nd Round,3,Riera J.,Alexandrova E.,137,21,6,3,6,4,,,,,,,2,,12,7,Completed,4.1,1.23
2024-01-03,Brisbane International,WTA500,Outdoor,Hard,2nd Round,3,Ostapenko J.,Giorgi C.,12,55,6,1,6,4,,,,,,,2,,12,5,Completed,1.62,2.28
2024-01-03,Brisbane International,WTA500,Outdoor,Hard,2nd Round,3,Burel C.,Kalinina A.,56,27,6,4,6,1,,,,,,,2,,12,5,Completed,1.96,1.84
2024-01-03,Brisbane International,WTA500,Outdoor,Hard,2nd Round,3,Andreeva M.,Samsonova L.,58,15,6,2,6,1,,,,,,,2,,12,3,Completed,1.82,1.99
2024-01-03,Brisbane International,WTA500,Outdoor,Hard,2nd Round,3,Linette M.,Bucsa C.,22,61,6,3,7,5,,,,,,,2,,13,8,Completed,1.99,1.8
2024-01-03,Brisbane International,WTA500,Outdoor,Hard,2nd Round,3,Mertens E.,Stephens S.,30,44,2,6,6,1,6,3,,,,,2,1,14,10,Completed,1.64,2.23
2024-01-03,Brisbane International,WTA500,Outdoor,Hard,2nd Round,3,Rybakina E.,Gadecki O.,4,124,6,4,6,1,,,,,,,2,,12,5,Completed,1.08,7.89
2024-01-03,Brisbane International,WTA500,Outdoor,Hard,2nd Round,3,Zhu L.,Collins D.,33,54,1,6,6,3,7,6,,,,,2,1,14,15,Completed,3.68,1.28
2024-01-04,Brisbane International,WTA500,Outdoor,Hard,3rd Round,3,Azarenka V.,Burel C.,23,56,7,5,6,2,,,,,,,2,,13,7,Completed,1.44,2.77
2024-01-04,Brisbane International,WTA500,Outdoor,Hard,3rd Round,3,Noskova L.,Riera J.,40,137,6,1,6,7,6,3,,,,,2,1,18,11,Completed,1.4,2.93
2024-01-04,Brisbane International,WTA500,Outdoor,Hard,3rd Round,3,Ostapenko J.,Pliskova Ka.,12,39,6,2,4,6,6,3,,,,,2,1,16,11,Completed,1.54,2.46
2024-01-04,Brisbane International,WTA500,Outdoor,Hard,3rd Round,3,Kasatkina D.,Linette M.,18,22,6,4,6,2,,,,,,,2,,12,6,Completed,1.41,2.86
2024-01-04,Brisbane International,WTA500,Outdoor,Hard,3rd Round,3,Andreeva M.,Rodionova Ar.,58,113,6,1,6,1,,,,,,,2,,12,2,Completed,1.08,7.7
2024-01-04,Brisbane International,WTA500,Outdoor,Hard,3rd Round,3,Potapova A.,Kudermetova V.,28,16,7,5,6,7,6,4,,,,,2,1,19,16,Completed,2.91,1.4
2024-01-04,Brisbane International,WTA500,Outdoor,Hard,3rd Round,3,Rybakina E.,Mertens E.,4,30,6,1,6,0,,,,,,,2,,12,1,Completed,1.27,3.72
2024-01-04,Brisbane International,WTA500,Outdoor,Hard,3rd Round,3,Sabalenka A.,Zhu L.,2,33,6,1,6,0,,,,,,,2,,12,1,Completed,1.04,10.54
2024-01-05,Brisbane International,WTA500,Outdoor,Hard,Quarterfinals,3,Azarenka V.,Ostapenko J.,23,12,6,3,3,6,7,5,,,,,2,1,16,14,Completed,1.91,1.89
2024-01-05,Brisbane International,WTA500,Outdoor,Hard,Quarterfinals,3,Rybakina E.,Potapova A.,4,28,6,1,,,,,,,,,1,,6,1,Retired,1.12,6.16
2024-01-05,Brisbane International,WTA500,Outdoor,Hard,Quarterfinals,3,Noskova L.,Andreeva M.,40,58,7,5,6,3,,,,,,,2,,13,8,Completed,4.02,1.24
2024-01-05,Brisbane International,WTA500,Outdoor,Hard,Quarterfinals,3,Sabalenka A.,Kasatkina D.,2,18,6,1,6,4,,,,,,,2,,12,5,Completed,1.12,6.38
2024-01-06,Brisbane International,WTA500,Outdoor,Hard,Semifinals,3,Rybakina E.,Noskova L.,4,40,6,3,6,2,,,,,,,2,,12,5,Completed,1.17,5.01
2024-01-06,Brisbane International,WTA500,Outdoor,Hard,Semifinals,3,Sabalenka A.,Azarenka V.,2,23,6,2,6,4,,,,,,,2,,12,6,Completed,1.15,5.5
2024-01-07,Brisbane International,WTA500,Outdoor,Hard,The Final,3,Rybakina E.,Sabalenka A.,4,2,6,0,6,3,,,,,,,2,,12,3,Completed,5.0,1.4
2024-01-08,Adelaide International,WTA500,Outdoor,Hard,1st Round,3,Kostyuk M.,Kalinina A.,41,28,7,6,6,1,,,,,,,2,,13,7,Completed,1.66,2.2
2024-01-08,Adelaide International,WTA500,Outdoor,Hard,1st Round,3,Pavlyuchenkova A.,Haddad Maia B.,59,11,6,3,6,4,,,,,,,2,,12,7,Completed,2.2,1.66
2024-01-08,Adelaide International,WTA500,Outdoor,Hard,1st Round,3,Bucsa C.,Paolini J.,61,30,6,3,6,3,,,,,,,2,,12,6,Completed,3.26,1.33
2024-01-08,Adelaide International,WTA500,Outdoor,Hard,1st Round,3,Kalinskaya A.,Krejcikova B.,75,10,7,5,3,6,7,5,,,,,2,1,17,16,Completed,2.08,1.75
2024-01-08,Adelaide International,WTA500,Outdoor,Hard,1st Round,3,Bogdan A.,Boulter K.,66,57,,3,6,4,,,,,,,2,,6,4,Completed,3.35,1.37
2024-01-08,Adelaide International,WTA500,Outdoor,Hard,1st Round,3,Pera B.,Badosa P.,69,74,3,6,6,2,6,3,,,,,2,1,15,11,Completed,2.85,1.42
2024-01-08,Adelaide International,WTA500,Outdoor,Hard,1st Round,3,Siegemund L.,Samsonova L.,89,14,6,7,6,4,6,4,,,,,2,1,18,15,Completed,3.85,1.26
2024-01-09,Adelaide International,WTA500,Outdoor,Hard,1st Round,3,Ostapenko J.,Cirstea S.,12,26,2,6,6,2,6,4,,,,,2,1,14,12,Completed,1.53,2.48
2024-01-09,Adelaide International,WTA500,Outdoor,Hard,1st Round,3,Garcia C.,Preston T.,20,203,6,4,1,6,6,3,,,,,2,1,13,13,Completed,1.15,5.38
2024-01-09,Adelaide International,WTA500,Outdoor,Hard,1st Round,3,Kudermetova V.,Krueger A.,16,78,6,2,7,5,,,,,,,2,,13,7,Completed,1.31,3.44
2024-01-09,Adelaide International,WTA500,Outdoor,Hard,1st Round,3,Siniakova K.,Pliskova Ka.,49,37,6,2,6,1,,,,,,,2,,12,3,Completed,2.08,1.73
2024-01-09,Adelaide International,WTA500,Outdoor,Hard,1st Round,3,Kasatkina D.,Liu C.,15,104,6,4,6,3,,,,,,,2,,12,7,Completed,1.41,2.88
2024-01-09,Adelaide International,WTA500,Outdoor,Hard,1st Round,3,Alexandrova E.,Linette M.,21,24,3,6,7,6,7,5,,,,,2,1,17,17,Completed,1.61,2.3
2024-01-09,Adelaide International,WTA500,Outdoor,Hard,1st Round,3,Townsend T.,Sasnovich A.,80,83,6,3,7,6,,,,,,,2,,13,9,Completed,2.21,1.68
2024-01-10,Adelaide International,WTA500,Outdoor,Hard,2nd Round,3,Pegula J.,Pera B.,5,69,4,6,6,2,6,3,,,,,2,1,16,11,Completed,1.1,6.87
2024-01-10,Adelaide International,WTA500,Outdoor,Hard,2nd Round,3,Siegemund L.,Bogdan A.,89,66,6,4,7,5,,,,,,,2,,13,9,Completed,2.02,1.78
2024-01-10,Adelaide International,WTA500,Outdoor,Hard,2nd Round,3,Pavlyuchenkova A.,Siniakova K.,59,49,2,6,6,3,6,2,,,,,2,1,14,11,Completed,1.79,2.01
2024-01-10,Adelaide International,WTA500,Outdoor,Hard,2nd Round,3,Kostyuk M.,Townsend T.,41,80,6,3,2,6,6,4,,,,,2,1,14,13,Completed,1.52,2.52
2024-01-10,Adelaide International,WTA500,Outdoor,Hard,2nd Round,3,Ostapenko J.,Garcia C.,12,20,6,4,5,7,6,4,,,,,2,1,17,15,Completed,1.59,2.34
2024-01-10,Adelaide International,WTA500,Outdoor,Hard,2nd Round,3,Kasatkina D.,Kalinskaya A.,15,75,5,7,6,4,7,5,,,,,2,1,18,16,Completed,1.67,2.19
2024-01-10,Adelaide International,WTA500,Outdoor,Hard,2nd Round,3,Rybakina E.,Bucsa C.,3,61,6,3,7,5,,,,,,,2,,13,8,Completed,1.06,9.37
2024-01-10,Adelaide International,WTA500,Outdoor,Hard,2nd Round,3,Alexandrova E.,Kudermetova V.,21,16,6,4,6,4,,,,,,,2,,12,8,Completed,2.47,1.53
2024-01-11,Adelaide International,WTA500,Outdoor,Hard,Quarterfinals,3,Ostapenko J.,Kostyuk M.,12,41,7,5,6,3,,,,,,,2,,13,8,Completed,1.52,2.52
2024-01-11,Adelaide International,WTA500,Outdoor,Hard,Quarterfinals,3,Pegula J.,Pavlyuchenkova A.,5,59,6,7,7,5,6,4,,,,,2,1,19,16,Completed,1.33,3.29
2024-01-11,Adelaide International,WTA500,Outdoor,Hard,Quarterfinals,3,Alexandrova E.,Rybakina E.,21,3,6,3,6,3,,,,,,,2,,12,6,Completed,4.31,1.21
2024-01-12,Adelaide International,WTA500,Outdoor,Hard,Semifinals,3,Ostapenko J.,Alexandrova E.,12,21,6,2,7,6,,,,,,,2,,13,8,Completed,1.84,1.97
2024-01-13,Adelaide International,WTA500,Outdoor,Hard,The Final,3,Ostapenko J.,Kasatkina D.,12,15,6,3,6,2,,,,,,,2,,12,5,Completed,1.57,2.4
2024-01-08,Hobart International,WTA250,Outdoor,Hard,1st Round,3,Gracheva V.,Stearns P.,39,48,7,6,3,6,7,5,,,,,2,1,17,17,Completed,2.07,1.74
2024-01-08,Hobart International,WTA250,Outdoor,Hard,1st Round,3,Rus A.,Fruhvirtova L.,50,85,6,3,5,7,6,3,,,,,2,1,17,13,Completed,2.32,1.6
2024-01-08,Hobart International,WTA250,Outdoor,Hard,1st Round,3,Schmiedlova A.,Osorio M.,67,79,1,6,7,6,7,5,,,,,2,1,15,17,Completed,2.26,1.62
2024-01-08,Hobart International,WTA250,Outdoor,Hard,1st Round,3,Mertens E.,Collins D.,29,54,6,2,6,3,,,,,,,2,,12,5,Completed,2.11,1.72
2024-01-08,Hobart International,WTA250,Outdoor,Hard,1st Round,3,Saville D.,Blinkova A.,195,46,3,6,6,4,6,4,,,,,2,1,15,14,Completed,1.81,1.98
2024-01-08,Hobart International,WTA250,Outdoor,Hard,1st Round,3,Zhu L.,Bronzetti L.,33,56,7,5,6,1,,,,,,,2,,13,6,Completed,1.68,2.18
2024-01-09,Hobart International,WTA250,Outdoor,Hard,1st Round,3,Dolehide C.,Sherif M.,44,58,6,1,6,4,,,,,,,2,,12,5,Completed,1.55,2.44
2024-01-09,Hobart International,WTA250,Outdoor,Hard,1st Round,3,Tomova V.,Trevisan M.,77,60,6,3,6,3,,,,,,,2,,12,6,Completed,2.1,1.73
2024-01-09,Hobart International,WTA250,Outdoor,Hard,1st Round,3,Kenin S.,Minnen G.,38,65,6,3,6,3,,,,,,,2,,12,6,Completed,1.43,2.78
2024-01-09,Hobart International,WTA250,Outdoor,Hard,1st Round,3,Putintseva Y.,Cocciaretto E.,64,45,0,6,7,5,7,6,,,,,2,1,14,17,Completed,1.55,2.44
2024-01-09,Hobart International,WTA250,Outdoor,Hard,1st Round,3,Maria T.,Podoroska N.,42,63,6,1,4,3,,,,,,,1,,10,4,Retired,1.86,1.93
2024-01-09,Hobart International,WTA250,Outdoor,Hard,1st Round,3,Yuan Y.,Stephens S.,73,43,6,4,3,6,7,6,,,,,2,1,16,16,Completed,2.47,1.53
2024-01-09,Hobart International,WTA250,Outdoor,Hard,1st Round,3,Bouzkova M.,Golubic V.,35,90,6,2,6,4,,,,,,,2,,12,6,Completed,1.33,3.26
2024-01-09,Hobart International,WTA250,Outdoor,Hard,1st Round,3,Frech M.,Sorribes Tormo S.,72,53,0,6,6,1,6,4,,,,,2,1,12,11,Completed,2.16,1.69
2024-01-09,Hobart International,WTA250,Outdoor,Hard,1st Round,3,Wang Xin.,Gadecki O.,34,121,6,3,3,6,6,3,,,,,2,1,15,12,Completed,1.51,2.55
2024-01-09,Hobart International,WTA250,Outdoor,Hard,1st Round,3,Navarro E.,Burel C.,31,52,4,6,6,3,6,3,,,,,2,1,16,12,Completed,1.69,2.16
2024-01-10,Hobart International,WTA250,Outdoor,Hard,2nd Round,3,Rus A.,Gracheva V.,50,39,6,2,6,3,,,,,,,2,,12,5,Completed,2.12,1.71
2024-01-10,Hobart International,WTA250,Outdoor,Hard,2nd Round,3,Tomova V.,Maria T.,77,42,6,0,6,1,,,,,,,2,,12,1,Completed,1.97,1.82
2024-01-10,Hobart International,WTA250,Outdoor,Hard,2nd Round,3,Mertens E.,Schmiedlova A.,29,67,6,2,6,3,,,,,,,2,,12,5,Completed,1.19,4.6
2024-01-10,Hobart International,WTA250,Outdoor,Hard,2nd Round,3,Zhu L.,Dolehide C.,33,44,5,7,6,3,6,4,,,,,2,1,17,14,Completed,1.55,2.42
2024-01-10,Hobart International,WTA250,Outdoor,Hard,2nd Round,3,Yuan Y.,Wang Xin.,73,34,7,5,6,3,,,,,,,2,,13,8,Completed,2.31,1.6
2024-01-10,Hobart International,WTA250,Outdoor,Hard,2nd Round,3,Navarro E.,Frech M.,31,72,6,3,6,3,,,,,,,2,,12,6,Completed,1.47,2.65
2024-01-10,Hobart International,WTA250,Outdoor,Hard,2nd Round,3,Saville D.,Kenin S.,195,38,7,6,6,1,,,,,,,2,,13,7,Completed,2.47,1.53
2024-01-10,Hobart International,WTA250,Outdoor,Hard,2nd Round,3,Putintseva Y.,Bouzkova M.,64,35,6,4,1,6,6,3,,,,,2,1,13,13,Completed,2.91,1.4
2024-01-11,Hobart International,WTA250,Outdoor,Hard,Quarterfinals,3,Mertens E.,Rus A.,29,50,7,5,6,0,,,,,,,2,,13,5,Completed,1.21,4.35
2024-01-11,Hobart International,WTA250,Outdoor,Hard,Quarterfinals,3,Navarro E.,Tomova V.,31,77,4,6,6,3,6,2,,,,,2,1,16,11,Completed,1.26,3.78
2024-01-11,Hobart International,WTA250,Outdoor,Hard,Quarterfinals,3,Saville D.,Zhu L.,195,33,3,6,6,1,6,4,,,,,2,1,15,11,Completed,1.79,2.02
2024-01-11,Hobart International,WTA250,Outdoor,Hard,Quarterfinals,3,Yuan Y.,Putintseva Y.,73,64,7,5,7,6,,,,,,,2,,14,11,Completed,2.27,1.63
2024-01-12,Hobart International,WTA250,Outdoor,Hard,Semifinals,3,Mertens E.,Saville D.,29,195,6,4,4,6,7,5,,,,,2,1,17,15,Completed,1.33,3.33
2024-01-12,Hobart International,WTA250,Outdoor,Hard,Semifinals,3,Navarro E.,Yuan Y.,31,73,6,4,6,3,,,,,,,2,,12,7,Completed,1.37,3.1
2024-01-13,Hobart International,WTA250,Outdoor,Hard,The Final,3,Navarro E.,Mertens E.,31,29,6,1,4,6,7,5,,,,,2,1,17,12,Completed,2.09,1.74
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,3,Rakhimova K.,Bektas E.,90,89,6,4,6,4,,,,,,,2,,12,8,Completed,1.86,1.95
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,3,Tsurenko L.,Bronzetti L.,33,55,3,6,7,5,6,3,,,,,2,1,16,14,Completed,1.5,2.61
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,3,Fernandez L.A.,Bejlek S.,35,133,7,6,6,2,,,,,,,2,,13,8,Completed,1.27,3.82
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,3,Krejcikova B.,Hontama M.,11,121,2,6,6,4,6,3,,,,,2,1,14,13,Completed,1.17,5.23
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,3,Avanesyan E.,Bai Z.,74,87,4,6,7,5,6,2,,,,,2,1,17,13,Completed,2.47,1.55
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,3,Korpatsch T.,Burrage J.,80,102,2,6,6,3,6,0,,,,,2,1,14,9,Completed,1.75,2.1
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,3,Parks A.,Snigur D.,82,134,2,6,6,2,6,4,,,,,2,1,14,12,Completed,2.06,1.78
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,3,Timofeeva M.,Cornet A.,170,110,6,2,6,4,,,,,,,2,,12,6,Completed,1.74,2.11
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,3,Fruhvirtova B.,Bogdan A.,107,63,2,6,6,4,6,3,,,,,2,1,14,13,Completed,1.65,2.26
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,3,Sakkari M.,Hibino N.,8,88,6,4,6,1,,,,,,,2,,12,5,Completed,1.07,9.12
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,3,Parry D.,Wang Xin.,72,36,6,3,2,6,6,3,,,,,2,1,14,12,Completed,3.06,1.38
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,3,Anisimova A.,Samsonova L.,442,14,6,3,6,4,,,,,,,2,,12,7,Completed,2.93,1.41
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,3,Korneeva A.,Sorribes Tormo S.,179,52,4,6,6,3,6,2,,,,,2,1,16,11,Completed,2.26,1.65
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,3,Dolehide C.,Jeanjean L.,43,143,6,2,6,4,,,,,,,2,,12,6,Completed,1.42,2.9
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,3,Wozniacki C.,Linette M.,252,24,6,2,2,0,,,,,,,1,,8,2,Retired,1.53,2.52
